question,answer_0,answer_1,answer_2,answer_3,label
"Mission Impossible, The Silence of the Lambs, American Beauty, Star Wars Episode IV - A New Hope:",Austin Powers International Man of Mystery,Alesha Popovich and Tugarin the Dragon,In Cold Blood,Rosetta,0
"Raiders of the Lost Ark, American Beauty, Star Wars Episode V - The Empire Strikes Back, Groundhog Day:",God Bless America,Music From Another Room,Turbo A Power Rangers Movie,Star Wars Episode IV - A New Hope,3
"Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back, The Silence of the Lambs, The Princess Bride:",The Valet,"Love Potion #9",The Twilight Samurai,Fargo,3
"The Princess Bride, Goodfellas, Raiders of the Lost Ark, Star Wars Episode IV - A New Hope:",She's So Lovely,Indiana Jones and the Last Crusade,Daddy Day Care,35 Up,1
"The Wizard of Oz, The Big Lebowski, Being John Malkovich, Run Lola Run:",Dragon Ball Z Dead Zone,Lightning in a Bottle,The Omega Man,Goodfellas,3
"Raiders of the Lost Ark, Groundhog Day, The Fugitive, Star Wars Episode IV - A New Hope:",The Big Lebowski,A Letter to Three Wives,Hideaway,Candyman,0
"The Sword in the Stone, Fantasia, The Jungle Book, Willy Wonka & the Chocolate Factory:",The Wizard of Oz,Captain Corelli's Mandolin,Timecrimes,Arlington Road,0
"Star Wars Episode V - The Empire Strikes Back, Groundhog Day, Mission Impossible, Star Wars Episode IV - A New Hope:",View from the Top,The Doors,Raiders of the Lost Ark,Quick Change,2
"The Fugitive, Fargo, Groundhog Day, The Princess Bride:",John Q,Raiders of the Lost Ark,No Man's Land,The Morning After,1
"Star Wars Episode V - The Empire Strikes Back, Star Wars Episode IV - A New Hope, The Silence of the Lambs, Austin Powers International Man of Mystery:",Mission Impossible,Sheena,South Park Imaginationland,The Pervert's Guide to Cinema,0
"American Beauty, Raiders of the Lost Ark, Star Wars Episode V - The Empire Strikes Back, Groundhog Day:",The Odd Couple II,The Bank Dick,Bill Burr Walk Your Way Out,Star Wars Episode IV - A New Hope,3
"American Beauty, Goodfellas, The Silence of the Lambs, Star Wars Episode IV - A New Hope:",Christmas in Connecticut,The Princess Bride,Bill & Ted's Bogus Journey,Melvin and Howard,1
"Star Wars Episode IV - A New Hope, Indiana Jones and the Last Crusade, Star Wars Episode V - The Empire Strikes Back, The Big Lebowski:","Tetsuo, the Ironman",The Princess Bride,The Barkley Marathons The Race That Eats Its Young,Bug,1
"The Wizard of Oz, Fargo, Run Lola Run, Indiana Jones and the Last Crusade:",White Frog,Raiders of the Lost Ark,The Little Drummer Boy,Penny Serenade,1
"Romancing the Stone, American Beauty, The Princess Bride, Star Wars Episode IV - A New Hope:",Save the Last Dance,Passion,Being John Malkovich,Trial and Error,2
"The Sword in the Stone, The Jungle Book, Fantasia, The Wizard of Oz:",8 12,Far from Heaven,Willy Wonka & the Chocolate Factory,Pet Sematary,2
"Raiders of the Lost Ark, Indiana Jones and the Last Crusade, Mission Impossible, Groundhog Day:",Fred Armisen Standup for Drummers,Star Wars Episode V - The Empire Strikes Back,Deliver Us from Evil,Red Lights,1
"Raiders of the Lost Ark, Groundhog Day, Fargo, The Silence of the Lambs:",Tape,Gettysburg,The Princess Bride,Stardust,2
"Austin Powers International Man of Mystery, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back, Mission Impossible:",The Impostors,Virunga,Self-criticism of a Bourgeois Dog,American Beauty,3
"American Beauty, Star Wars Episode V - The Empire Strikes Back, Raiders of the Lost Ark, Star Wars Episode IV - A New Hope:",Colombiana,Snow Falling on Cedars,Groundhog Day,Santa's Little Helper,2
"Goodfellas, Star Wars Episode V - The Empire Strikes Back, The Silence of the Lambs, Raiders of the Lost Ark:",Ip Man 3,Star Wars Episode IV - A New Hope,The Wedding Ringer,Delivery Man,1
"Goodfellas, Raiders of the Lost Ark, Star Wars Episode IV - A New Hope, The Silence of the Lambs:",Monty Python and the Holy Grail,Weekend at Bernie's,"American in Paris, An",Let It Snow,0
"The Princess Bride, American Beauty, Monty Python and the Holy Grail, Raiders of the Lost Ark:",The Nutty Professor,Star Wars Episode IV - A New Hope,Antichrist,Stroszek,1
"Indiana Jones and the Last Crusade, Raiders of the Lost Ark, The Big Lebowski, Star Wars Episode V - The Empire Strikes Back:",The Great Raid,Edmond,Falling Down,Goodfellas,3
"The Big Lebowski, American Beauty, Raiders of the Lost Ark, The Princess Bride:",House of Cards,A Time to Kill,Mirrors,Indiana Jones and the Last Crusade,3
"Star Wars Episode IV - A New Hope, The Fugitive, Being John Malkovich, Mission Impossible:",Pet Sematary II,Star Wars Episode V - The Empire Strikes Back,Winnie Pooh,Ken Park,1
"Star Wars Episode IV - A New Hope, Raiders of the Lost Ark, Mission Impossible, Star Wars Episode V - The Empire Strikes Back:",Indiana Jones and the Last Crusade,Stander,Too Late for Tears,Tower Heist,0
"Men in Black, The Fugitive, Raiders of the Lost Ark, Fargo:",The Silence of the Lambs,College,Music Box,Get Smart,0
"Mission Impossible, Groundhog Day, Raiders of the Lost Ark, Star Wars Episode IV - A New Hope:",Indiana Jones and the Last Crusade,"Suddenly, Last Summer",Passion,Life of Pi,0
"The Fugitive, Clear and Present Danger, The Mask, Fargo:",I'm Still Here,Schindler's List,Death at a Funeral,Block Party,1
"Dances with Wolves, Schindler's List, Batman, The Fugitive:",The Dinner Game,Metal A Headbanger's Journey,Pulp Fiction,FX2,2
"Braveheart, The Usual Suspects, Dances with Wolves, Pulp Fiction:",Metropolis,Nadja,Marty,Toy Story,3
"Braveheart, Dances with Wolves, Schindler's List, Pulp Fiction:",The Talented Mr Ripley,Ashes of Time,Quo Vadis,The Usual Suspects,3
"Dances with Wolves, Schindler's List, The Mask, Batman:",Clear and Present Danger,Dune,Funny People,Spartacus,0
"Pulp Fiction, Batman, Braveheart, Schindler's List:",Two Family House,The Usual Suspects,Saving Mr Banks,Dr Giggles,1
"Braveheart, The Usual Suspects, Schindler's List, Toy Story:",Breakin' 2 Electric Boogaloo,Batman,When a Woman Ascends the Stairs,Webmaster,1
"Dances with Wolves, Schindler's List, Toy Story, Pulp Fiction:",Braveheart,The Legend of Hell House,A Detective Story,The Adventures of Sharkboy and Lavagirl 3-D,0
"The Fugitive, Schindler's List, Braveheart, The Mask:",The Real McCoy,Batman,Master and Commander The Far Side of the World,Supercop,1
"The Fugitive, Schindler's List, Fargo, Braveheart:",Dances with Wolves,Arachnophobia,The Good Son,Liam,0
"The Usual Suspects, Schindler's List, Braveheart, Dances with Wolves:",The Way of the Gun,Bully,Fiddler on the Roof,Batman,3
"Schindler's List, Pulp Fiction, The Fugitive, The Usual Suspects:",Braveheart,Planes,Lord of Illusions,2048 Nowhere to Run,0
"Braveheart, Dances with Wolves, Pulp Fiction, Schindler's List:",Tickling Giants,Shadow of the Vampire,The Usual Suspects,On the Town,2
"Batman, Independence Day, Forrest Gump, The Silence of the Lambs:",Skyline,Jurassic Park,Dragon Ball Z Broly - The Legendary Super Saiyan,One Fine Day,1
"Forrest Gump, Dances with Wolves, The Silence of the Lambs, Braveheart:",FLCL,Jupiter Ascending,Camp Rock,The Mask,3
"Braveheart, Jurassic Park, The Silence of the Lambs, Forrest Gump:",Blind Fury,Party Monster,Satin Rouge,The Fugitive,3
"Schindler's List, Braveheart, The Silence of the Lambs, Tombstone:",Orlando,Guilty of Romance,Forrest Gump,All the Real Girls,2
"Seven, Fargo, Schindler's List, Forrest Gump:",The Silence of the Lambs,The Bounty,The Out-of-Towners,Free to Play,0
"Schindler's List, Dances with Wolves, Braveheart, Forrest Gump:",Akira,Seven,The Onion Movie,Evil Dead,1
"Schindler's List, The Fugitive, Heat, Braveheart:",Wild Orchid,The Silence of the Lambs,Hello Ladies The Movie,Star Trek,1
"Willy Wonka & the Chocolate Factory, The Fugitive, Grumpier Old Men, So I Married an Axe Murderer:",Seven,Lovers & Leavers,Freaked,Let's Get Harry,0
"Batman, Independence Day, Jurassic Park, Forrest Gump:",Pleasantville,The Mask,To Catch a Thief,Microwave Massacre,1
"The Fugitive, Forrest Gump, Fargo, The Three Musketeers:",Piranha 3DD,Er ist wieder da,Raging Bull,Independence Day,3
"Schindler's List, Braveheart, The Mask, Pinocchio:",Batman,Dances with Wolves,Macbeth,Catch 44,1
"Braveheart, The Mask, The Fugitive, Batman:",Club Dread,George Washington,Schindler's List,Once Upon a Time in America,2
"Braveheart, The Fugitive, Fargo, Dances with Wolves:",Mars Attacks!,Mr Jealousy,The Element of Crime,Schindler's List,3
"Jurassic Park, Independence Day, Forrest Gump, Batman:",The Firm,Roger Dodger,"Innocent Man, An",The Silence of the Lambs,3
"The Mask, The Silence of the Lambs, Dumb & Dumber, Jurassic Park:",Gerry,Martin,Nico Icon,Schindler's List,3
"Twister, The Silence of the Lambs, Independence Day, Braveheart:","They Shoot Horses, Don't They",Forrest Gump,The Salton Sea,Extreme Days,1
"Tombstone, Seven, Jurassic Park, Schindler's List:","Officer and a Gentleman, An",Sex and the City 2,Dumb & Dumber,Bicycle Thieves,2
"Forrest Gump, The Silence of the Lambs, Seven, Fargo:",Gandhi,Schindler's List,Dogfight,Repo Man,1
"Jurassic Park, The Silence of the Lambs, Dances with Wolves, Seven:",Forrest Gump,Righteous Kill,Cheech and Chong's Up in Smoke,Blood The Last Vampire,0
"The Silence of the Lambs, Schindler's List, Desperado, Jurassic Park:",Frozen River,Gothika,Spy Game,Dances with Wolves,3
"The Fugitive, Willy Wonka & the Chocolate Factory, So I Married an Axe Murderer, Batman:",Seven,Meet the Spartans,Leprechaun 4 In Space,Harlem Nights,0
"Forrest Gump, Independence Day, The Mask, Jurassic Park:",Hulk,Batman,Footloose,The Void,1
"Independence Day, Fargo, Forrest Gump, Heat:",Mike's New Car,The Silence of the Lambs,Pusher,Mrs Dalloway,1
"Batman, Forrest Gump, Jurassic Park, Independence Day:",The Silence of the Lambs,Deadly Outlaw Rekka,The Discreet Charm of the Bourgeoisie,Teenage Mutant Ninja Turtles Out of the Shadows,0
"Forrest Gump, The Silence of the Lambs, The Fugitive, Jurassic Park:",The Burrowers,Children of the Corn III,Hood of Horror,Braveheart,3
"Dumb & Dumber, Jurassic Park, Schindler's List, Forrest Gump:",The Counterfeiters,Gone with the Wind,Braveheart,Pitfall,2
"Schindler's List, Jurassic Park, The Silence of the Lambs, Forrest Gump:",Batman,Alien Resurrection,A Tale of Two Cities,The Quiet American,0
"Braveheart, Forrest Gump, The Silence of the Lambs, The Fugitive:",Cannibal Holocaust,Seven,Bride & Prejudice,Night at the Museum Secret of the Tomb,1
"Braveheart, Forrest Gump, The Silence of the Lambs, Independence Day:",Mogambo,Jurassic Park,Dorian Gray,"Play It Again, Sam",1
"Heat, Independence Day, Braveheart, Forrest Gump:",The Silence of the Lambs,Sandy Wexler,The Dictator,Nutty Professor II The Klumps,0
"Heat, The Fugitive, Forrest Gump, The Silence of the Lambs:",Death Race 2,Cannonball Run II,Independence Day,Slumber Party Massacre II,2
